annual_income,debt_to_income_ratio,credit_score,years_credit_history,num_credit_accounts,mortgage_amount,savings_ratio,employment_years,loan_amount_requested,collateral_value,monthly_transactions,avg_transaction_amount,late_payments_12m,credit_utilization,num_bank_accounts,online_banking_usage,payment_method_diversity,financial_app_usage,investment_accounts,insurance_policies,default_risk
46553.48178161499,0.19098421133903828,600.8983863450803,1.340401558993705,4.0,275551.30642013083,0.08646546154330288,0.2186850844630267,6551.770914394702,6935.922648402451,57.0,2.2744500653141326,4.0,0.4391332722621684,2.0,0.3135686835190757,4.0,0.8809631130733085,1.0,2.0,0
33889.74870025484,0.42935482302741823,533.7182997339003,0.04429422486279514,5.0,66450.65915507327,0.109985220021544,5.99705186725725,38659.97415267497,45830.240603254504,40.0,14.387648460626133,4.0,0.29924150164953467,2.0,0.6612651487477739,5.0,0.35909910631914216,0.0,1.0,0
50203.71309851531,0.13505981431693803,694.5210878914062,3.2851304564017205,6.0,0.0,0.03945181009141771,0.9445240626974961,3131.04658692297,3262.7630671617194,54.0,12.428073175872948,0.0,0.4196164962549747,3.0,0.6387348677002,5.0,0.3651983021840974,0.0,2.0,0
77770.30303256382,0.337549092566092,716.1180990592719,5.402048758177554,6.0,0.0,0.05828666815452643,0.08409582875174257,21797.567283481952,18953.644813347666,45.0,20.247553106047796,3.0,0.1669422523256791,4.0,0.4588046600338439,5.0,0.20437746266107357,2.0,5.0,1
32303.256114822005,0.26119616167537435,716.7536094794132,9.768419797445217,3.0,0.0,0.22568726885886914,1.2335940637831917,12692.176753410158,11820.214021776146,53.0,5.10547024263852,3.0,0.7283617734995459,1.0,0.9413509755968736,3.0,0.5510417152084376,0.0,4.0,1
32303.521289692086,0.453239848617585,622.866083477399,12.15367982508477,6.0,0.0,0.08007006232408961,0.24466328939073798,7138.5257299918885,7267.170630633279,51.0,5.008450417048118,5.0,0.040281884658709195,2.0,0.389639299401305,7.0,0.42105562562905735,0.0,3.0,0
79985.96075983488,0.057171778493590966,675.4534301036948,8.71371378050526,9.0,0.0,0.03802241402165177,5.08380032253208,3845.6392168462703,3558.494775027781,38.0,28.561907284708894,0.0,0.4431747273347926,4.0,0.6052157569996404,3.0,0.6151578801490623,1.0,1.0,0
53301.37272839711,0.049213902784972924,584.9766913770715,7.878888405126807,3.0,0.0,0.008960856349783193,7.082840295696241,2710.3930824956005,2669.323709262845,50.0,26.065159380421967,2.0,0.07142933107099121,5.0,0.5082329534005482,7.0,0.4246748230996755,1.0,1.0,0
28717.523979494832,0.16613586996517776,817.4801677935731,8.766897923821219,4.0,0.0,0.007748977286714645,0.9809630331908249,204532.36422845992,210962.34364190634,65.0,27.719290632802227,3.0,0.23540204548871746,3.0,0.7515533234594773,10.0,0.18055720174381068,4.0,4.0,1
47632.94972188262,0.22256519262460253,764.4205158657932,2.5344324340637945,3.0,0.0,0.009347193885785608,1.1745082355568957,24372.469940474344,26381.03675766512,41.0,10.096856688665564,1.0,0.5618762874525448,3.0,0.03204429248009298,4.0,0.7039816285560936,1.0,6.0,0
