model,threshold,accuracy,precision,recall,f1,auc,profit,approved_loans,rejected_loans,tp,fp,tn,fn
Logistic Regression,0.01,0.1218,0.010256988277727683,0.9891304347826086,0.02030343596608657,0.8023160906426076,18306960,1128,8872,91,8781,1127,1
Simple Meta NN,0.01,0.0354,0.00944752515917026,1.0,0.018718209562563582,0.7984840971722456,4257500,262,9738,92,9646,262,0
Enhanced Meta NN,0.01,0.0092,0.0092,1.0,0.01823226317875545,0.5085975759596988,0,0,10000,92,9908,0,0
Logistic Regression,0.01,0.1218,0.010256988277727683,0.9891304347826086,0.02030343596608657,0.8023160906426076,18306960,1128,8872,91,8781,1127,1
Simple Meta NN,0.01,0.0354,0.00944752515917026,1.0,0.018718209562563582,0.7984840971722456,4257500,262,9738,92,9646,262,0
Enhanced Meta NN,0.01,0.0092,0.0092,1.0,0.01823226317875545,0.5085975759596988,0,0,10000,92,9908,0,0
Logistic Regression,0.01,0.1218,0.010256988277727683,0.9891304347826086,0.02030343596608657,0.8023160906426076,18306960,1128,8872,91,8781,1127,1
Simple Meta NN,0.01,0.0354,0.00944752515917026,1.0,0.018718209562563582,0.7984840971722456,4257500,262,9738,92,9646,262,0
Enhanced Meta NN,0.01,0.0092,0.0092,1.0,0.01823226317875545,0.5085975759596988,0,0,10000,92,9908,0,0
Logistic Regression,0.01,0.1218,0.010256988277727683,0.9891304347826086,0.02030343596608657,0.8023160906426076,18306960,1128,8872,91,8781,1127,1
Simple Meta NN,0.01,0.0354,0.00944752515917026,1.0,0.018718209562563582,0.7984840971722456,4257500,262,9738,92,9646,262,0
Enhanced Meta NN,0.01,0.0092,0.0092,1.0,0.01823226317875545,0.5085975759596988,0,0,10000,92,9908,0,0
